animal_id,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,outcome_age,cat/kitten,age_group,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
A664283,1,Spayed Female,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,white,black,Adoption-- 
A679085,1,Neutered Male,Male,Yes,2,365,4,Cat,"(-0.022, 2.2]",siamese,True,False,point,lynx,none,lynx,Adoption-- 
A673970,0,Intact Male,Male,No,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,missing,orange,white,orange,Euthanasia-- Suffering
A676600,1,Intact Female,Female,No,6,365,5,Cat,"(4.4, 6.6]",domestic mediumhair,False,True,tabby,cream,none,cream,Return to Owner-- 
A628628,1,Spayed Female,Female,Yes,2,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
A676541,1,Spayed Female,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
A678653,1,Spayed Female,Female,Yes,1,30,1,Kitten,"(-0.022, 2.2]",domestic mediumhair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
A678951,1,Neutered Male,Male,Yes,3,365,4,Cat,"(2.2, 4.4]",domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
A668012,1,Neutered Male,Male,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
A678837,0,Intact Female,Female,No,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,white,torbie,Transfer-- Partner
A690090,0,Intact Male,Male,No,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
A677443,0,Neutered Male,Male,Yes,4,365,5,Cat,"(2.2, 4.4]",domestic longhair,False,True,missing,blue,white,blue,Adoption-- 
A627272,1,Spayed Female,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- 
A589009,1,Neutered Male,Male,Yes,4,365,5,Cat,"(2.2, 4.4]",domestic shorthair,False,True,missing,black,none,black,Return to Owner-- 
A693245,1,Neutered Male,Male,Yes,11,365,7,Cat,"(8.8, 11.0]",domestic mediumhair,False,True,tabby,orange ,white,orange ,Return to Owner-- 
A679579,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- Foster
A674688,1,Intact Female,Female,No,4,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Adoption-- 
A665668,1,Neutered Male,Male,Yes,10,365,6,Cat,"(8.8, 11.0]",domestic shorthair,False,True,missing,white,black,white,Adoption-- Foster
A667007,1,Spayed Female,Female,Yes,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
A675115,0,Spayed Female,Female,Yes,5,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
A664442,1,Neutered Male,Male,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Adoption-- 
A689499,1,Spayed Female,Female,Yes,3,365,4,Cat,"(2.2, 4.4]",domestic longhair,False,True,missing,white,none,white,Adoption-- 
