age_upon_outcome,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,cat/kitten,age_group,outcome_weekday,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Return to Owner-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- Foster
7 years,1,Neutered Male,Male,Yes,7,365,Cat,"(6.6, 8.8]",Wednesday,domestic longhair,False,True,tabby,brown,none,brown,Transfer-- Partner
11 years,1,Spayed Female,Female,Yes,11,365,Cat,"(8.8, 11.0]",Sunday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
2 weeks,0,Intact Female,Female,No,2,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,black,none,black,Transfer-- Partner
8 months,1,Spayed Female,Female,Yes,8,30,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,point,flame,none,flame,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Sunday,domestic mediumhair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
6 months,1,Spayed Female,Female,Yes,6,30,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- SCRP
5 years,0,Intact Female,Female,No,5,365,Cat,"(4.4, 6.6]",Tuesday,domestic longhair,False,True,missing,black,white,black,Transfer-- SCRP
1 weeks,0,Unknown,Female,Yes,1,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,blue ,white,blue ,Transfer-- Partner
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
8 years,1,Neutered Male,Male,Yes,8,365,Cat,"(6.6, 8.8]",Friday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
4 months,1,Intact Male,Male,No,4,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic longhair,False,True,missing,black,white,black,Euthanasia-- Suffering
3 months,0,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,white,black,white,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,blue,none,blue,Adoption-- 
2 years,0,Unknown,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,blue ,white,blue ,Transfer-- SCRP
1 year,0,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,gray,none,gray,Transfer-- SCRP
3 years,0,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Tuesday,domestic longhair,False,True,missing,black,none,black,Transfer-- Partner
4 days,0,Unknown,Female,Yes,4,1,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- Partner
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- SCRP
5 months,1,Neutered Male,Male,Yes,5,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic mediumhair,False,True,tabby,orange,none,orange,Adoption-- Foster
5 months,0,Intact Female,Female,No,5,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,gray,none,gray,Died-- In Kennel
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- Foster
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange,none,orange,Euthanasia-- Suffering
1 month,0,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,blue,none,blue,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,blue,white,blue,Transfer-- Partner
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- Foster
2 years,0,Intact Female,Female,No,2,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- SCRP
4 weeks,0,Intact Female,Female,No,4,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,none,black,Euthanasia-- Suffering
3 months,0,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Thursday,domestic longhair,False,True,tabby,brown,none,brown,Adoption-- Foster
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,blue,white,blue,Adoption-- 
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
7 years,1,Spayed Female,Female,Yes,7,365,Cat,"(6.6, 8.8]",Wednesday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 years,0,Unknown,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,white,black,Adoption-- Foster
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
1 week,1,Intact Female,Female,No,1,7,Kitten,"(-0.022, 2.2]",Friday,domestic longhair,False,True,tabby,blue,none,blue,Transfer-- Partner
1 month,0,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,white,black,white,Return to Owner-- 
2 years,1,Intact Male,Male,No,2,365,Cat,"(-0.022, 2.2]",Monday,sphynx,False,True,tabby,brown ,white,brown ,Return to Owner-- 
2 weeks,0,Unknown,Female,Yes,2,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
9 years,1,Spayed Female,Female,Yes,9,365,Cat,"(8.8, 11.0]",Monday,domestic shorthair,False,True,tabby,brown ,white,brown ,Return to Owner-- 
4 months,0,Intact Male,Male,No,4,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Snr
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,white,blue,white,Transfer-- Partner
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
5 months,1,Spayed Female,Female,Yes,5,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
3 years,1,Neutered Male,Male,Yes,3,365,Cat,"(2.2, 4.4]",Monday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
1 month,0,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Euthanasia-- Suffering
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- Foster
5 months,0,Spayed Female,Female,Yes,5,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,torbie,Breed Specific,white,torbie,Transfer-- SCRP
1 year,0,Intact Male,Male,No,1,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- SCRP
2 years,1,Unknown,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Wednesday,snowshoe,False,True,point,seal,none,seal,Transfer-- Partner
3 months,0,Unknown,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- SCRP
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
2 weeks,0,Intact Female,Female,No,2,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 year,0,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- SCRP
4 days,0,Intact Female,Female,No,4,1,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,white,orange,white,Transfer-- Partner
1 month,0,Unknown,Female,Yes,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Euthanasia-- Suffering
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,cream,none,cream,Transfer-- Partner
